,class-label,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
0,0,3,8,0,0,1,1,10,1,1,3,3,7,7,1,4,6,4,6
1,0,3,8,0,0,1,1,10,1,1,3,3,7,7,1,4,1,4,6
2,0,3,8,0,0,1,1,7,1,1,3,3,7,7,1,4,6,4,6
3,0,3,8,0,0,1,1,7,1,1,3,3,7,7,1,4,1,4,6
4,0,3,8,0,0,1,1,1,1,1,3,3,7,7,1,4,6,4,6
5,0,3,8,0,0,1,1,1,1,1,3,3,7,7,1,4,1,4,6
6,0,3,8,0,1,1,1,10,1,1,3,3,7,7,1,4,6,4,6
7,0,3,8,0,1,1,1,10,1,1,3,3,7,7,1,4,1,4,6
8,0,3,8,0,1,1,1,7,1,1,3,3,7,7,1,4,6,4,6
9,0,3,8,0,1,1,1,7,1,1,3,3,7,7,1,4,1,4,6
10,0,3,8,0,1,1,1,1,1,1,3,3,7,7,1,4,6,4,6
11,0,3,8,0,1,1,1,1,1,1,3,3,7,7,1,4,1,4,6
12,0,3,9,0,0,1,1,10,1,1,3,3,7,7,1,4,6,4,6
13,0,3,9,0,0,1,1,10,1,1,3,3,7,7,1,4,1,4,6
14,0,3,9,0,0,1,1,7,1,1,3,3,7,7,1,4,6,4,6
15,0,3,9,0,0,1,1,7,1,1,3,3,7,7,1,4,1,4,6
16,0,3,9,0,0,1,1,1,1,1,3,3,7,7,1,4,6,4,6
17,0,3,9,0,0,1,1,1,1,1,3,3,7,7,1,4,1,4,6
18,0,3,9,0,1,1,1,10,1,1,3,3,7,7,1,4,6,4,6
19,0,3,9,0,1,1,1,10,1,1,3,3,7,7,1,4,1,4,6
20,0,3,9,0,1,1,1,7,1,1,3,3,7,7,1,4,6,4,6
21,0,3,9,0,1,1,1,7,1,1,3,3,7,7,1,4,1,4,6
22,0,3,9,0,1,1,1,1,1,1,3,3,7,7,1,4,6,4,6
23,0,3,9,0,1,1,1,1,1,1,3,3,7,7,1,4,1,4,6
24,0,0,8,0,0,1,1,10,1,1,3,3,7,7,1,4,6,4,6
25,0,0,8,0,0,1,1,10,1,1,3,3,7,7,1,4,1,4,6
26,0,0,8,0,0,1,1,7,1,1,3,3,7,7,1,4,6,4,6
27,0,0,8,0,0,1,1,7,1,1,3,3,7,7,1,4,1,4,6
28,0,0,8,0,0,1,1,1,1,1,3,3,7,7,1,4,6,4,6
29,0,0,8,0,0,1,1,1,1,1,3,3,7,7,1,4,1,4,6
30,0,0,8,0,1,1,1,10,1,1,3,3,7,7,1,4,6,4,6
31,0,0,8,0,1,1,1,10,1,1,3,3,7,7,1,4,1,4,6
32,0,0,8,0,1,1,1,7,1,1,3,3,7,7,1,4,6,4,6
33,0,0,8,0,1,1,1,7,1,1,3,3,7,7,1,4,1,4,6
34,0,0,8,0,1,1,1,1,1,1,3,3,7,7,1,4,6,4,6
35,0,0,8,0,1,1,1,1,1,1,3,3,7,7,1,4,1,4,6
36,0,0,9,0,0,1,1,10,1,1,3,3,7,7,1,4,6,4,6
37,0,0,9,0,0,1,1,10,1,1,3,3,7,7,1,4,1,4,6
38,0,0,9,0,0,1,1,7,1,1,3,3,7,7,1,4,6,4,6
39,0,0,9,0,0,1,1,7,1,1,3,3,7,7,1,4,1,4,6
40,0,0,9,0,0,1,1,1,1,1,3,3,7,7,1,4,6,4,6
41,0,0,9,0,0,1,1,1,1,1,3,3,7,7,1,4,1,4,6
42,0,0,9,0,1,1,1,10,1,1,3,3,7,7,1,4,6,4,6
43,0,0,9,0,1,1,1,10,1,1,3,3,7,7,1,4,1,4,6
44,0,0,9,0,1,1,1,7,1,1,3,3,7,7,1,4,6,4,6
45,0,0,9,0,1,1,1,7,1,1,3,3,7,7,1,4,1,4,6
46,0,0,9,0,1,1,1,1,1,1,3,3,7,7,1,4,6,4,6
47,0,0,9,0,1,1,1,1,1,1,3,3,7,7,1,4,1,4,6
48,0,3,8,0,0,1,1,10,1,1,3,3,7,7,1,4,6,4,6
49,0,3,8,0,0,1,1,10,1,1,3,3,7,7,1,4,1,4,6
50,0,3,8,0,0,1,1,7,1,1,3,3,7,7,1,4,6,4,6
